日期,时刻,是否节假日,是否周末休息日,直调负荷(预测),联络线受电负荷(预测),风电总加(预测),光伏总加(预测),非市场化核电总加(预测),自备机组总加(预测),地方电厂发电总加(预测),直调负荷(实际),联络线受电负荷(实际),风电总加(实际),光伏总加(实际),抽蓄(实际),地方电厂发电总加(实际),非市场化核电总加(实际),自备机组总加(实际),日前价格,实时价格
2024-11-01,00:15,否,否,54968.38,16349.0,2142.12,0.0,,4579.0,6750,54084.062,16727.9328,3952.21,-9.47,-3.91,6803.4937,0.0,4064.039238,454.74,344.67
2024-11-01,00:30,否,否,54575.78,16349.0,2175.5,0.0,,4579.0,6750,53740.215,16828.5203,3781.5,-9.32,-3.88,6789.0545,0.0,4067.855978,454.74,342.49
2024-11-01,00:45,否,否,54191.26,16349.0,2215.99,0.0,,4579.0,6750,53562.363,16655.2207,3988.98,-9.32,-3.88,6754.5344,0.0,4067.149583,454.74,335.41
2024-11-01,01:00,否,否,53793.92,16349.0,2259.7,0.0,,4579.0,6750,53314.49,16713.4908,4248.51,-9.58,-3.98,6747.8439,0.0,4065.478378,454.74,349.34
2024-11-01,01:15,否,否,53447.01,16347.0,2329.01,0.0,,4579.0,6750,53064.34,16463.9623,4386.69,-9.45,-3.95,6785.7684,0.0,4060.819448,425.21,352.53
2024-11-01,01:30,否,否,53233.92,16347.0,2404.4,0.0,,4579.0,6750,52524.082,16556.2721,4412.6,-9.54,-3.9,6765.9348,0.0,3889.565257,425.21,351.18
2024-11-01,01:45,否,否,53142.67,16347.0,2486.46,0.0,,4579.0,6750,52475.76,16614.4339,4381.0,-9.36,-3.96,6772.5823,0.0,3899.658048,425.21,349.97
2024-11-01,02:00,否,否,52809.43,16347.0,2572.81,0.0,,4579.0,6750,51997.465,16524.0983,4409.59,-9.42,-3.93,6788.2973,0.0,3911.336598,425.21,336.09
2024-11-01,02:15,否,否,52593.61,16347.0,2664.32,0.0,,4579.0,6750,51767.99,16509.8168,4548.64,-9.43,-3.91,6786.4784,0.0,3931.603198,397.9,336.09
2024-11-01,02:30,否,否,52442.07,16347.0,2761.1,0.0,,4579.0,6750,51862.035,16612.2134,4696.03,-9.39,-3.95,6786.0564,0.0,3918.190448,397.9,329.46
2024-11-01,02:45,否,否,52379.98,16347.0,2853.93,0.0,,4579.0,6750,51583.78,16572.6794,4844.76,-9.5,-4.0,6754.0049,0.0,3919.721103,397.9,322.37
2024-11-01,03:00,否,否,52144.27,16347.0,2955.35,0.0,,4579.0,6750,51348.74,16579.582,4629.39,-9.38,-3.94,6728.5872,0.0,3896.196156,397.9,323.43
2024-11-01,03:15,否,否,52232.16,16347.0,3063.52,0.0,,4579.0,6750,51488.723,16443.3404,4547.53,-9.55,-3.88,6748.3369,0.0,3872.353133,386.79,321.34
2024-11-01,03:30,否,否,52094.52,16347.0,3184.03,0.0,,4579.0,6750,51522.04,16698.1321,4706.05,-9.45,-3.94,6733.9351,0.0,3871.999052,386.79,320.79
2024-11-01,03:45,否,否,52133.12,16347.0,3298.23,0.0,,4579.0,6750,51440.25,16479.0022,4748.03,-9.54,-3.96,6753.0352,0.0,3945.021658,386.79,329.46
