日期,时刻,是否节假日,是否周末休息日,直调负荷(预测),联络线受电负荷(预测),风电总加(预测),光伏总加(预测),非市场化核电总加(预测),自备机组总加(预测),地方电厂发电总加(预测),直调负荷(实际),联络线受电负荷(实际),风电总加(实际),光伏总加(实际),抽蓄(实际),地方电厂发电总加(实际),非市场化核电总加(实际),自备机组总加(实际),日前价格,实时价格
2025-12-16,00:15,否,否,66524.39,19840.0,5595.14,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,00:30,否,否,65913.66,19834.0,5379.14,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,00:45,否,否,65488.47,19839.0,5159.35,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,01:00,否,否,65116.36,19835.0,4948.58,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,01:15,否,否,64917.82,19833.0,4767.97,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,01:30,否,否,64655.43,19828.0,4613.11,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,01:45,否,否,64360.84,19822.0,4475.48,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,02:00,否,否,64379.13,19813.0,4337.82,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,02:15,否,否,65269.05,19812.0,4244.38,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,02:30,否,否,65587.87,19808.0,4177.26,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,02:45,否,否,65150.55,19807.0,4114.91,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,03:00,否,否,64931.89,19805.0,4060.42,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,03:15,否,否,64713.24,19804.0,4053.88,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,03:30,否,否,64640.35,19800.0,4074.69,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,03:45,否,否,64421.69,19799.0,4099.2,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,04:00,否,否,64494.58,19796.0,4132.91,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,04:15,否,否,64567.46,19795.0,4201.32,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,04:30,否,否,64859.01,19791.0,4290.35,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,04:45,否,否,65223.44,19790.0,4381.71,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,05:00,否,否,65733.64,19786.0,4480.98,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,05:15,否,否,66070.44,19785.0,4599.66,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,05:30,否,否,66827.28,21044.0,4720.18,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,05:45,否,否,67720.63,22313.0,4844.21,0.0,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,06:00,否,否,68691.04,23576.0,4892.69,0.51,3152.5,4670.0,8450.0,,,,,,,,,,
2025-12-16,06:15,否,否,70153.75,24849.0,5038.18,1.29,3152.5,4660.0,8450.0,,,,,,,,,,
2025-12-16,06:30,否,否,71385.77,24909.0,5199.94,2.85,3152.5,4650.0,8450.0,,,,,,,,,,
2025-12-16,06:45,否,否,72696.48,24971.0,5369.22,4.83,3152.5,4640.0,8450.0,,,,,,,,,,
2025-12-16,07:00,否,否,74198.88,25032.0,5529.62,30.15,3152.5,4630.0,8450.0,,,,,,,,,,
2025-12-16,07:15,否,否,75722.63,25095.0,5657.49,168.85,3152.5,4610.0,8450.0,,,,,,,,,,
2025-12-16,07:30,否,否,77396.4,25178.0,5768.33,530.15,3152.5,4590.0,8450.0,,,,,,,,,,
2025-12-16,07:45,否,否,80063.55,25266.0,5868.25,1204.16,3152.5,4570.0,8450.0,,,,,,,,,,
2025-12-16,08:00,否,否,81577.44,25352.0,5957.67,2070.15,3152.5,4550.0,8450.0,,,,,,,,,,
2025-12-16,08:15,否,否,82724.84,25448.0,5998.3,3126.67,3152.5,4530.0,8450.0,,,,,,,,,,
2025-12-16,08:30,否,否,83145.8,25282.0,6016.58,4260.47,3152.5,4510.0,8450.0,,,,,,,,,,
2025-12-16,08:45,否,否,82559.77,25126.0,6033.95,5462.27,3152.5,4490.0,8450.0,,,,,,,,,,
2025-12-16,09:00,否,否,82566.72,24963.0,6044.76,6619.77,3152.5,4470.0,8450.0,,,,,,,,,,
2025-12-16,09:15,否,否,81713.2,24819.0,5993.27,7743.45,3152.5,4450.0,8450.0,,,,,,,,,,
2025-12-16,09:30,否,否,80683.89,24928.0,5918.97,8774.47,3152.5,4430.0,8450.0,,,,,,,,,,
2025-12-16,09:45,否,否,79447.8,25017.0,5859.61,9751.76,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,10:00,否,否,79246.14,25111.0,5802.45,10625.99,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,10:15,否,否,79272.09,25214.0,5824.88,11368.9,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,10:30,否,否,78593.86,25010.0,5863.96,11965.89,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,10:45,否,否,78114.21,24809.0,5910.98,12435.15,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,11:00,否,否,77583.76,24607.0,5955.86,12823.01,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,11:15,否,否,78175.2,24402.0,6054.63,13066.79,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,11:30,否,否,76168.3,23877.0,6166.65,13161.67,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,11:45,否,否,74342.56,23349.0,6278.99,13173.75,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,12:00,否,否,72121.76,22818.0,6394.35,13125.99,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,12:15,否,否,71099.42,22283.0,6534.92,12969.77,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,12:30,否,否,70554.63,22296.0,6686.02,12744.25,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,12:45,否,否,71184.45,22312.0,6839.09,12439.24,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,13:00,否,否,72051.59,22310.0,6998.07,12072.16,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,13:15,否,否,72810.17,22302.0,7162.09,11648.9,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,13:30,否,否,73716.77,22384.0,7339.02,11119.2,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,13:45,否,否,74369.31,22468.0,7517.14,10408.51,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,14:00,否,否,74983.1,22549.0,7697.39,9672.82,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,14:15,否,否,75992.35,22634.0,7873.28,8852.69,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,14:30,否,否,76837.29,22820.0,8052.55,8021.32,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,14:45,否,否,77334.17,23009.0,8227.88,7060.08,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,15:00,否,否,78036.42,23194.0,8407.53,6102.25,3152.5,4420.0,8450.0,,,,,,,,,,
2025-12-16,15:15,否,否,78966.03,23379.0,8591.13,5099.62,3152.5,4435.0,8450.0,,,,,,,,,,
2025-12-16,15:30,否,否,79818.4,24018.0,8783.7,4067.19,3152.5,4440.0,8450.0,,,,,,,,,,
