日期,时刻,是否节假日,是否周末休息日,直调负荷(预测),联络线受电负荷(预测),风电总加(预测),光伏总加(预测),非市场化核电总加(预测),自备机组总加(预测),地方电厂发电总加(预测),直调负荷（实际）,联络线受电负荷（实际）,风电总加（实际）,光伏总加（实际）,抽蓄（实际）,地方电厂发电总加（实际）,非市场化核电总加（实际）,自备机组总加（实际）,日前价格,实时价格
2025-12-16,00:15,否,否,66524.39,19840.0,5595.14,0.0,3152.5,4670.0,8450.0,66034.44,20350.9838,4248.11,-14.02,-1.29,8472.841,3160.91301,3830.443553,320.343,340.0
2025-12-16,00:30,否,否,65913.66,19834.0,5379.14,0.0,3152.5,4670.0,8450.0,65771.14,20369.0095,4012.93,-13.52,-1.32,8474.5989,3166.18977,3805.627554,320.343,338.33
2025-12-16,00:45,否,否,65488.47,19839.0,5159.35,0.0,3152.5,4670.0,8450.0,65269.723,20252.0002,3823.96,-13.67,-1.27,8494.0808,3163.61047,3788.143132,320.343,338.33
2025-12-16,01:00,否,否,65116.36,19835.0,4948.58,0.0,3152.5,4670.0,8450.0,64824.0,20317.8884,3632.31,-13.64,-1.3,8486.175,3163.9697,3789.798745,320.343,338.33
2025-12-16,01:15,否,否,64917.82,19833.0,4767.97,0.0,3152.5,4670.0,8450.0,64722.207,20213.5241,3435.65,-13.74,-1.22,8485.9441,3163.9099,3787.020414,321.663,338.33
2025-12-16,01:30,否,否,64655.43,19828.0,4613.11,0.0,3152.5,4670.0,8450.0,64421.902,20359.8072,3227.38,-13.75,-1.26,8497.941,3164.562856,3766.21424,321.663,338.33
2025-12-16,01:45,否,否,64360.84,19822.0,4475.48,0.0,3152.5,4670.0,8450.0,64115.84,20233.6499,2954.58,-13.7,-1.25,8486.396,3163.74418,3778.496442,321.663,338.0
2025-12-16,02:00,否,否,64379.13,19813.0,4337.82,0.0,3152.5,4670.0,8450.0,64072.637,20305.0597,2685.09,-13.86,-1.27,8517.6822,3164.31454,3830.386092,321.663,338.33
2025-12-16,02:15,否,否,65269.05,19812.0,4244.38,0.0,3152.5,4670.0,8450.0,65639.08,20186.7796,2441.09,-13.9,326.41,8520.7578,3163.7762,3837.188252,335.163,345.0
2025-12-16,02:30,否,否,65587.87,19808.0,4177.26,0.0,3152.5,4670.0,8450.0,65757.11,20174.12005,2355.11,-13.79,-1.34,8517.8037,3162.8966,3844.206847,335.163,346.0
