interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,日期
1,0,350.2918410958904,359.0818410958904,383.1318410958904,314.6118410958904,8.79000000000002,STABLE,PV_VOLATILE,LOW,0.0,2025-12-16
2,0,350.2918410958904,359.0818410958904,383.1318410958904,314.6118410958904,8.79000000000002,STABLE,PV_VOLATILE,LOW,24816.75,2025-12-16
3,0,350.2918410958904,359.0818410958904,383.1318410958904,314.6118410958904,8.79000000000002,STABLE,PV_VOLATILE,LOW,24428.020000000004,2025-12-16
4,0,350.2918410958904,359.0818410958904,383.1318410958904,314.6118410958904,8.79000000000002,STABLE,PV_VOLATILE,LOW,24217.620000000003,2025-12-16
5,1,340.7327787671233,328.3127787671233,348.0627787671233,250.9777787671233,-12.420000000000016,STABLE,PV_VOLATILE,LOW,24060.28,2025-12-16
6,1,340.7327787671233,328.3127787671233,348.0627787671233,250.9777787671233,-12.420000000000016,STABLE,PV_VOLATILE,LOW,24044.35,2025-12-16
7,1,340.7327787671233,328.3127787671233,348.0627787671233,250.9777787671233,-12.420000000000016,STABLE,PV_VOLATILE,LOW,23941.82,2025-12-16
8,1,340.7327787671233,328.3127787671233,348.0627787671233,250.9777787671233,-12.420000000000016,STABLE,PV_VOLATILE,LOW,23790.86,2025-12-16
9,2,327.9890020547945,327.1990020547945,341.69000205479455,312.9940020547945,-0.789999999999992,STABLE,PV_VOLATILE,MID,23955.809999999998,2025-12-16
10,2,327.9890020547945,327.1990020547945,341.69000205479455,312.9940020547945,-0.789999999999992,STABLE,PV_VOLATILE,MID,24940.170000000006,2025-12-16
11,2,327.9890020547945,327.1990020547945,341.69000205479455,312.9940020547945,-0.789999999999992,STABLE,PV_VOLATILE,MID,25330.109999999993,2025-12-16
12,2,327.9890020547945,327.1990020547945,341.69000205479455,312.9940020547945,-0.789999999999992,STABLE,PV_VOLATILE,MID,24956.14,2025-12-16
13,3,316.5808684931507,316.0558684931507,331.39186849315075,295.5768684931507,-0.5250000000000057,STABLE,PV_VOLATILE,MID,24793.97,2025-12-16
14,3,316.5808684931507,316.0558684931507,331.39186849315075,295.5768684931507,-0.5250000000000057,STABLE,PV_VOLATILE,MID,24582.86,2025-12-16
15,3,316.5808684931507,316.0558684931507,331.39186849315075,295.5768684931507,-0.5250000000000057,STABLE,PV_VOLATILE,MID,24493.159999999996,2025-12-16
