interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,日期
1,0,350.2918410958904,356.5418410958904,408.69584109589044,282.2258410958904,6.25,VOLATILE,PV_DOMINANT,2025-12-16
2,0,350.2918410958904,356.5418410958904,408.69584109589044,282.2258410958904,6.25,VOLATILE,PV_DOMINANT,2025-12-16
3,0,350.2918410958904,356.5418410958904,408.69584109589044,282.2258410958904,6.25,VOLATILE,PV_DOMINANT,2025-12-16
4,0,350.2918410958904,356.5418410958904,408.69584109589044,282.2258410958904,6.25,VOLATILE,PV_DOMINANT,2025-12-16
5,1,340.7327787671233,343.4227787671233,386.5827787671233,277.3827787671233,2.6899999999999977,STABLE,PV_DOMINANT,2025-12-16
6,1,340.7327787671233,343.4227787671233,386.5827787671233,277.3827787671233,2.6899999999999977,STABLE,PV_DOMINANT,2025-12-16
7,1,340.7327787671233,343.4227787671233,386.5827787671233,277.3827787671233,2.6899999999999977,STABLE,PV_DOMINANT,2025-12-16
8,1,340.7327787671233,343.4227787671233,386.5827787671233,277.3827787671233,2.6899999999999977,STABLE,PV_DOMINANT,2025-12-16
9,2,327.9890020547945,329.15900205479454,374.66900205479453,260.2390020547945,1.170000000000016,STABLE,PV_DOMINANT,2025-12-16
10,2,327.9890020547945,329.15900205479454,374.66900205479453,260.2390020547945,1.170000000000016,STABLE,PV_DOMINANT,2025-12-16
11,2,327.9890020547945,329.15900205479454,374.66900205479453,260.2390020547945,1.170000000000016,STABLE,PV_DOMINANT,2025-12-16
12,2,327.9890020547945,329.15900205479454,374.66900205479453,260.2390020547945,1.170000000000016,STABLE,PV_DOMINANT,2025-12-16
13,3,316.5808684931507,319.7808684931507,367.2708684931507,257.0708684931507,3.1999999999999886,STABLE,PV_DOMINANT,2025-12-16
14,3,316.5808684931507,319.7808684931507,367.2708684931507,257.0708684931507,3.1999999999999886,STABLE,PV_DOMINANT,2025-12-16
15,3,316.5808684931507,319.7808684931507,367.2708684931507,257.0708684931507,3.1999999999999886,STABLE,PV_DOMINANT,2025-12-16
16,3,316.5808684931507,319.7808684931507,367.2708684931507,257.0708684931507,3.1999999999999886,STABLE,PV_DOMINANT,2025-12-16
17,4,314.53189315068494,320.9368931506849,373.546893150685,268.56689315068496,6.405000000000001,STABLE,PV_DOMINANT,2025-12-16
18,4,314.53189315068494,320.9368931506849,373.546893150685,268.56689315068496,6.405000000000001,STABLE,PV_DOMINANT,2025-12-16
19,4,314.53189315068494,320.9368931506849,373.546893150685,268.56689315068496,6.405000000000001,STABLE,PV_DOMINANT,2025-12-16
20,4,314.53189315068494,320.9368931506849,373.546893150685,268.56689315068496,6.405000000000001,STABLE,PV_DOMINANT,2025-12-16
21,5,323.5875828767123,326.0825828767123,389.3275828767123,267.16758287671234,2.4950000000000045,VOLATILE,PV_DOMINANT,2025-12-16
22,5,323.5875828767123,326.0825828767123,389.3275828767123,267.16758287671234,2.4950000000000045,VOLATILE,PV_DOMINANT,2025-12-16
23,5,323.5875828767123,326.0825828767123,389.3275828767123,267.16758287671234,2.4950000000000045,VOLATILE,PV_DOMINANT,2025-12-16
24,5,323.5875828767123,326.0825828767123,389.3275828767123,267.16758287671234,2.4950000000000045,VOLATILE,PV_DOMINANT,2025-12-16
25,6,320.21209315068495,315.64709315068495,384.14209315068496,183.0720931506849,-4.564999999999998,VOLATILE,PV_DOMINANT,2025-12-16
26,6,320.21209315068495,315.64709315068495,384.14209315068496,183.0720931506849,-4.564999999999998,VOLATILE,PV_DOMINANT,2025-12-16
27,6,320.21209315068495,315.64709315068495,384.14209315068496,183.0720931506849,-4.564999999999998,VOLATILE,PV_DOMINANT,2025-12-16
28,6,320.21209315068495,315.64709315068495,384.14209315068496,183.0720931506849,-4.564999999999998,VOLATILE,PV_DOMINANT,2025-12-16
29,7,284.687751369863,273.682751369863,366.292751369863,127.03275136986304,-11.005000000000024,VOLATILE,PV_DOMINANT,2025-12-16
30,7,284.687751369863,273.682751369863,366.292751369863,127.03275136986304,-11.005000000000024,VOLATILE,PV_DOMINANT,2025-12-16
31,7,284.687751369863,273.682751369863,366.292751369863,127.03275136986304,-11.005000000000024,VOLATILE,PV_DOMINANT,2025-12-16
32,7,284.687751369863,273.682751369863,366.292751369863,127.03275136986304,-11.005000000000024,VOLATILE,PV_DOMINANT,2025-12-16
33,8,209.01046712328767,209.01046712328767,351.3404671232877,128.96046712328769,0.0,VOLATILE,PV_DOMINANT,2025-12-16
34,8,209.01046712328767,209.01046712328767,351.3404671232877,128.96046712328769,0.0,VOLATILE,PV_DOMINANT,2025-12-16
35,8,209.01046712328767,209.01046712328767,351.3404671232877,128.96046712328769,0.0,VOLATILE,PV_DOMINANT,2025-12-16
36,8,209.01046712328767,209.01046712328767,351.3404671232877,128.96046712328769,0.0,VOLATILE,PV_DOMINANT,2025-12-16
37,9,133.89744589041098,133.89744589041098,166.30244589041098,107.68244589041097,0.0,STABLE,PV_DOMINANT,2025-12-16
38,9,133.89744589041098,133.89744589041098,166.30244589041098,107.68244589041097,0.0,STABLE,PV_DOMINANT,2025-12-16
39,9,133.89744589041098,133.89744589041098,166.30244589041098,107.68244589041097,0.0,STABLE,PV_DOMINANT,2025-12-16
40,9,133.89744589041098,133.89744589041098,166.30244589041098,107.68244589041097,0.0,STABLE,PV_DOMINANT,2025-12-16
41,10,110.37939520547944,110.37939520547944,126.13939520547945,78.96939520547944,0.0,STABLE,PV_DOMINANT,2025-12-16
42,10,110.37939520547944,110.37939520547944,126.13939520547945,78.96939520547944,0.0,STABLE,PV_DOMINANT,2025-12-16
43,10,110.37939520547944,110.37939520547944,126.13939520547945,78.96939520547944,0.0,STABLE,PV_DOMINANT,2025-12-16
44,10,110.37939520547944,110.37939520547944,126.13939520547945,78.96939520547944,0.0,STABLE,PV_DOMINANT,2025-12-16
45,11,106.38751849315068,106.38751849315068,127.39001849315068,76.27251849315068,0.0,STABLE,PV_DOMINANT,2025-12-16
46,11,106.38751849315068,106.38751849315068,127.39001849315068,76.27251849315068,0.0,STABLE,PV_DOMINANT,2025-12-16
47,11,106.38751849315068,106.38751849315068,127.39001849315068,76.27251849315068,0.0,STABLE,PV_DOMINANT,2025-12-16
48,11,106.38751849315068,106.38751849315068,127.39001849315068,76.27251849315068,0.0,STABLE,PV_DOMINANT,2025-12-16
49,12,91.75762260273972,91.75762260273972,115.92262260273972,68.45762260273972,0.0,STABLE,PV_DOMINANT,2025-12-16
50,12,91.75762260273972,91.75762260273972,115.92262260273972,68.45762260273972,0.0,STABLE,PV_DOMINANT,2025-12-16
51,12,91.75762260273972,91.75762260273972,115.92262260273972,68.45762260273972,0.0,STABLE,PV_DOMINANT,2025-12-16
52,12,91.75762260273972,91.75762260273972,115.92262260273972,68.45762260273972,0.0,STABLE,PV_DOMINANT,2025-12-16
53,13,103.44125205479452,103.44125205479452,148.4512520547945,85.46125205479451,0.0,STABLE,PV_DOMINANT,2025-12-16
54,13,103.44125205479452,103.44125205479452,148.4512520547945,85.46125205479451,0.0,STABLE,PV_DOMINANT,2025-12-16
55,13,103.44125205479452,103.44125205479452,148.4512520547945,85.46125205479451,0.0,STABLE,PV_DOMINANT,2025-12-16
56,13,103.44125205479452,103.44125205479452,148.4512520547945,85.46125205479451,0.0,STABLE,PV_DOMINANT,2025-12-16
57,14,143.66642123287673,143.66642123287673,243.86642123287672,123.74642123287673,0.0,VOLATILE,PV_DOMINANT,2025-12-16
58,14,143.66642123287673,143.66642123287673,243.86642123287672,123.74642123287673,0.0,VOLATILE,PV_DOMINANT,2025-12-16
