hour,mae_p50,date,day_type
0,50.01421856287429,2025-10-01,PV_STABLE
1,79.41017664670659,2025-10-01,PV_STABLE
2,75.94364970059881,2025-10-01,PV_STABLE
3,85.77358982035928,2025-10-01,PV_STABLE
4,89.35869461077846,2025-10-01,PV_STABLE
5,103.63570059880242,2025-10-01,PV_STABLE
6,107.34588023952094,2025-10-01,PV_STABLE
7,100.06592514970062,2025-10-01,PV_STABLE
8,156.64000000000001,2025-10-01,PV_STABLE
9,179.4393353293413,2025-10-01,PV_STABLE
10,149.33425,2025-10-01,PV_STABLE
11,246.8139760479042,2025-10-01,PV_STABLE
12,268.43870808383235,2025-10-01,PV_STABLE
13,270.91969610778443,2025-10-01,PV_STABLE
14,274.1688323353293,2025-10-01,PV_STABLE
15,846.6121676646707,2025-10-01,PV_STABLE
16,78.14358982035932,2025-10-01,PV_STABLE
17,30.471320359281435,2025-10-01,PV_STABLE
18,40.86202395209585,2025-10-01,PV_STABLE
19,32.764778443113826,2025-10-01,PV_STABLE
20,6.031633233532958,2025-10-01,PV_STABLE
21,7.277500000000003,2025-10-01,PV_STABLE
22,15.74348203592811,2025-10-01,PV_STABLE
23,10.924832335329327,2025-10-01,PV_STABLE
0,19.979089552238804,2025-10-02,PV_STABLE
1,8.643611940298499,2025-10-02,PV_STABLE
2,31.799423880597047,2025-10-02,PV_STABLE
3,11.58253880597016,2025-10-02,PV_STABLE
4,19.535919402985087,2025-10-02,PV_STABLE
5,10.182500000000005,2025-10-02,PV_STABLE
6,13.709673134328355,2025-10-02,PV_STABLE
7,80.92978955223879,2025-10-02,PV_STABLE
8,206.86161940298504,2025-10-02,PV_STABLE
9,272.05951343283584,2025-10-02,PV_STABLE
10,272.97985373134327,2025-10-02,PV_STABLE
11,278.5542641791045,2025-10-02,PV_STABLE
12,294.55964850746267,2025-10-02,PV_STABLE
13,259.9255089552239,2025-10-02,PV_STABLE
14,221.10905895522387,2025-10-02,PV_STABLE
15,113.95547164179101,2025-10-02,PV_STABLE
16,55.42609999999995,2025-10-02,PV_STABLE
17,135.9996074626866,2025-10-02,PV_STABLE
18,174.87107761194025,2025-10-02,PV_STABLE
19,179.36121194029852,2025-10-02,PV_STABLE
20,174.46531641791051,2025-10-02,PV_STABLE
21,154.44379402985072,2025-10-02,PV_STABLE
22,124.40940597014927,2025-10-02,PV_STABLE
23,125.36781044776122,2025-10-02,PV_STABLE
0,1.940409226190468,2025-10-03,PV_VOLATILE
1,24.37041666666667,2025-10-03,PV_VOLATILE
2,44.74134821428572,2025-10-03,PV_VOLATILE
3,50.062264880952355,2025-10-03,PV_VOLATILE
4,54.84178273809519,2025-10-03,PV_VOLATILE
5,48.14714583333328,2025-10-03,PV_VOLATILE
6,55.95548511904758,2025-10-03,PV_VOLATILE
7,99.59747321428576,2025-10-03,PV_VOLATILE
8,121.21562499999999,2025-10-03,PV_VOLATILE
9,256.9620029761905,2025-10-03,PV_VOLATILE
10,267.5264791666667,2025-10-03,PV_VOLATILE
11,272.796875,2025-10-03,PV_VOLATILE
12,278.68780059523806,2025-10-03,PV_VOLATILE
13,247.70824404761905,2025-10-03,PV_VOLATILE
14,167.85989880952383,2025-10-03,PV_VOLATILE
15,110.54657440476194,2025-10-03,PV_VOLATILE
16,10.727598214285692,2025-10-03,PV_VOLATILE
17,50.24646130952385,2025-10-03,PV_VOLATILE
18,70.58393154761904,2025-10-03,PV_VOLATILE
19,43.8125327380952,2025-10-03,PV_VOLATILE
20,44.42198511904769,2025-10-03,PV_VOLATILE
21,50.28482440476195,2025-10-03,PV_VOLATILE
22,8.700404761904736,2025-10-03,PV_VOLATILE
23,12.924684523809447,2025-10-03,PV_VOLATILE
0,22.367572700296762,2025-10-04,PV_VOLATILE
1,33.46787091988131,2025-10-04,PV_VOLATILE
2,46.339145400593424,2025-10-04,PV_VOLATILE
3,61.758440652818976,2025-10-04,PV_VOLATILE
4,62.6665949554896,2025-10-04,PV_VOLATILE
5,50.66121364985162,2025-10-04,PV_VOLATILE
6,61.19692284866471,2025-10-04,PV_VOLATILE
7,103.2986290801187,2025-10-04,PV_VOLATILE
8,132.4452166172107,2025-10-04,PV_VOLATILE
9,255.59608976261126,2025-10-04,PV_VOLATILE
10,279.0011891691395,2025-10-04,PV_VOLATILE
11,262.9209851632047,2025-10-04,PV_VOLATILE
12,288.46280415430266,2025-10-04,PV_VOLATILE
13,261.04445326409495,2025-10-04,PV_VOLATILE
14,514.2204799703264,2025-10-04,PV_VOLATILE
15,431.44575000000003,2025-10-04,PV_VOLATILE
16,112.1905459940653,2025-10-04,PV_VOLATILE
17,20.032489614243275,2025-10-04,PV_VOLATILE
18,33.50435608308605,2025-10-04,PV_VOLATILE
19,37.804368694362,2025-10-04,PV_VOLATILE
20,43.484204747774484,2025-10-04,PV_VOLATILE
21,48.57221364985166,2025-10-04,PV_VOLATILE
22,13.86523293768549,2025-10-04,PV_VOLATILE
23,9.467307121661733,2025-10-04,PV_VOLATILE
0,21.28587869822489,2025-10-05,PV_VOLATILE
1,30.209245562130192,2025-10-05,PV_VOLATILE
2,55.275582840236666,2025-10-05,PV_VOLATILE
3,73.85420710059168,2025-10-05,PV_VOLATILE
4,73.03755029585797,2025-10-05,PV_VOLATILE
5,55.260304733727764,2025-10-05,PV_VOLATILE
6,71.45592603550297,2025-10-05,PV_VOLATILE
7,142.7189437869822,2025-10-05,PV_VOLATILE
8,195.86003550295862,2025-10-05,PV_VOLATILE
9,287.55624852071,2025-10-05,PV_VOLATILE
10,297.7155118343195,2025-10-05,PV_VOLATILE
11,276.3132529585799,2025-10-05,PV_VOLATILE
12,323.7491153846154,2025-10-05,PV_VOLATILE
13,349.4538905325444,2025-10-05,PV_VOLATILE
14,459.8872840236686,2025-10-05,PV_VOLATILE
15,156.18461834319527,2025-10-05,PV_VOLATILE
16,47.843905325443814,2025-10-05,PV_VOLATILE
17,38.60633431952664,2025-10-05,PV_VOLATILE
18,74.86908284023667,2025-10-05,PV_VOLATILE
19,78.6327988165681,2025-10-05,PV_VOLATILE
20,73.64047041420122,2025-10-05,PV_VOLATILE
21,54.024544378698224,2025-10-05,PV_VOLATILE
22,46.25336982248518,2025-10-05,PV_VOLATILE
23,34.17443786982247,2025-10-05,PV_VOLATILE
0,82.71582595870204,2025-10-06,PV_STABLE
1,61.67210029498523,2025-10-06,PV_STABLE
2,61.625849557522145,2025-10-06,PV_STABLE
3,49.55548820058996,2025-10-06,PV_STABLE
4,54.94702212389382,2025-10-06,PV_STABLE
5,54.645694690265515,2025-10-06,PV_STABLE
6,40.73676991150445,2025-10-06,PV_STABLE
7,9.412240412979372,2025-10-06,PV_STABLE
8,77.43422861356933,2025-10-06,PV_STABLE
9,125.8501681415929,2025-10-06,PV_STABLE
10,138.77399557522125,2025-10-06,PV_STABLE
11,143.76462979351032,2025-10-06,PV_STABLE
12,151.04907817109142,2025-10-06,PV_STABLE
13,136.70558259587023,2025-10-06,PV_STABLE
14,96.0088407079646,2025-10-06,PV_STABLE
15,18.030380530973474,2025-10-06,PV_STABLE
16,124.51451327433622,2025-10-06,PV_STABLE
17,131.52634070796455,2025-10-06,PV_STABLE
18,178.94595575221246,2025-10-06,PV_STABLE
19,189.89885545722717,2025-10-06,PV_STABLE
20,158.06773893805314,2025-10-06,PV_STABLE
21,71.59146312684368,2025-10-06,PV_STABLE
22,54.98896755162241,2025-10-06,PV_STABLE
23,86.05922123893811,2025-10-06,PV_STABLE
0,74.79931176470588,2025-10-07,PV_STABLE
1,69.60354117647057,2025-10-07,PV_STABLE
2,57.88179411764706,2025-10-07,PV_STABLE
3,45.59065588235289,2025-10-07,PV_STABLE
4,43.95958235294118,2025-10-07,PV_STABLE
5,21.75531764705883,2025-10-07,PV_STABLE
6,33.77252941176468,2025-10-07,PV_STABLE
7,83.2501911764706,2025-10-07,PV_STABLE
8,151.9659323529412,2025-10-07,PV_STABLE
9,158.61047058823533,2025-10-07,PV_STABLE
10,157.52721470588236,2025-10-07,PV_STABLE
11,153.1433117647059,2025-10-07,PV_STABLE
12,155.89275588235293,2025-10-07,PV_STABLE
13,150.71498529411764,2025-10-07,PV_STABLE
14,130.50007941176472,2025-10-07,PV_STABLE
15,116.62801764705881,2025-10-07,PV_STABLE
16,81.01100294117649,2025-10-07,PV_STABLE
17,24.019113235294128,2025-10-07,PV_STABLE
18,44.86120294117649,2025-10-07,PV_STABLE
19,54.10863823529415,2025-10-07,PV_STABLE
20,48.78503235294124,2025-10-07,PV_STABLE
21,13.06279558823529,2025-10-07,PV_STABLE
22,9.469999999999999,2025-10-07,PV_STABLE
23,15.641652941176488,2025-10-07,PV_STABLE
0,13.361567448680418,2025-10-08,PV_STABLE
1,26.254900293255133,2025-10-08,PV_STABLE
2,30.858282991202387,2025-10-08,PV_STABLE
3,38.43346041055719,2025-10-08,PV_STABLE
4,37.4805087976539,2025-10-08,PV_STABLE
5,33.87163196480938,2025-10-08,PV_STABLE
6,46.15063343108501,2025-10-08,PV_STABLE
7,84.49074780058652,2025-10-08,PV_STABLE
8,193.16773900293256,2025-10-08,PV_STABLE
9,263.7171488269795,2025-10-08,PV_STABLE
10,747.154866568915,2025-10-08,PV_STABLE
11,670.5652661290324,2025-10-08,PV_STABLE
12,317.48812536656897,2025-10-08,PV_STABLE
13,717.7037969208212,2025-10-08,PV_STABLE
14,248.74891935483873,2025-10-08,PV_STABLE
15,96.33317741935488,2025-10-08,PV_STABLE
16,52.10643988269794,2025-10-08,PV_STABLE
17,93.96537829912025,2025-10-08,PV_STABLE
18,133.84051759530786,2025-10-08,PV_STABLE
19,123.49929178885635,2025-10-08,PV_STABLE
20,113.87355571847506,2025-10-08,PV_STABLE
21,93.76189002932553,2025-10-08,PV_STABLE
22,62.431272727272756,2025-10-08,PV_STABLE
23,48.26614222873903,2025-10-08,PV_STABLE
0,20.29385087719301,2025-10-09,PV_VOLATILE
1,39.6328040935673,2025-10-09,PV_VOLATILE
2,20.319587719298255,2025-10-09,PV_VOLATILE
3,19.73656432748541,2025-10-09,PV_VOLATILE
