interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,日期
1,0,350.2918410958904,349.6568410958904,387.1018410958904,264.92684109589044,-0.6349999999999909,STABLE,PV_VOLATILE,LOW,24816.75,2025-12-16
2,0,350.2918410958904,349.6568410958904,387.1018410958904,264.92684109589044,-0.6349999999999909,STABLE,PV_VOLATILE,LOW,24428.020000000004,2025-12-16
3,0,350.2918410958904,349.6568410958904,387.1018410958904,264.92684109589044,-0.6349999999999909,STABLE,PV_VOLATILE,LOW,24217.620000000003,2025-12-16
4,0,350.2918410958904,349.6568410958904,387.1018410958904,264.92684109589044,-0.6349999999999909,STABLE,PV_VOLATILE,LOW,24060.28,2025-12-16
5,1,337.5464246575342,339.7414246575342,357.6874246575342,319.64142465753423,2.194999999999993,STABLE,PV_VOLATILE,MID,24044.35,2025-12-16
6,1,337.5464246575342,339.7414246575342,357.6874246575342,319.64142465753423,2.194999999999993,STABLE,PV_VOLATILE,MID,23941.82,2025-12-16
7,1,337.5464246575342,339.7414246575342,357.6874246575342,319.64142465753423,2.194999999999993,STABLE,PV_VOLATILE,MID,23790.86,2025-12-16
8,1,337.5464246575342,339.7414246575342,357.6874246575342,319.64142465753423,2.194999999999993,STABLE,PV_VOLATILE,MID,23955.809999999998,2025-12-16
9,2,324.80319452054795,326.0231945205479,366.97319452054796,303.69919452054796,1.2199999999999989,STABLE,PV_VOLATILE,MID,24940.170000000006,2025-12-16
10,2,324.80319452054795,326.0231945205479,366.97319452054796,303.69919452054796,1.2199999999999989,STABLE,PV_VOLATILE,MID,25330.109999999993,2025-12-16
11,2,324.80319452054795,326.0231945205479,366.97319452054796,303.69919452054796,1.2199999999999989,STABLE,PV_VOLATILE,MID,24956.14,2025-12-16
12,2,324.80319452054795,326.0231945205479,366.97319452054796,303.69919452054796,1.2199999999999989,STABLE,PV_VOLATILE,MID,24793.97,2025-12-16
13,3,313.84009315068494,316.12009315068497,354.22009315068493,292.05909315068493,2.280000000000001,STABLE,PV_VOLATILE,MID,24582.86,2025-12-16
14,3,313.84009315068494,316.12009315068497,354.22009315068493,292.05909315068493,2.280000000000001,STABLE,PV_VOLATILE,MID,24493.159999999996,2025-12-16
15,3,313.84009315068494,316.12009315068497,354.22009315068493,292.05909315068493,2.280000000000001,STABLE,PV_VOLATILE,MID,24250.990000000005,2025-12-16
16,3,313.84009315068494,316.12009315068497,354.22009315068493,292.05909315068493,2.280000000000001,STABLE,PV_VOLATILE,MID,24293.17,2025-12-16
17,4,314.7624931506849,313.48749315068494,336.8924931506849,278.72749315068495,-1.2750000000000057,STABLE,PV_VOLATILE,MID,24298.64,2025-12-16
18,4,314.7624931506849,313.48749315068494,336.8924931506849,278.72749315068495,-1.2750000000000057,STABLE,PV_VOLATILE,MID,24505.160000000003,2025-12-16
19,4,314.7624931506849,313.48749315068494,336.8924931506849,278.72749315068495,-1.2750000000000057,STABLE,PV_VOLATILE,MID,24779.230000000003,2025-12-16
20,4,314.7624931506849,313.48749315068494,336.8924931506849,278.72749315068495,-1.2750000000000057,STABLE,PV_VOLATILE,MID,25194.160000000003,2025-12-16
21,5,326.5292794520548,320.70427945205483,358.97827945205484,254.5492794520548,-5.824999999999989,STABLE,PV_VOLATILE,MID,25413.28,2025-12-16
22,5,326.5292794520548,320.70427945205483,358.97827945205484,254.5492794520548,-5.824999999999989,STABLE,PV_VOLATILE,MID,24790.6,2025-12-16
23,5,326.5292794520548,320.70427945205483,358.97827945205484,254.5492794520548,-5.824999999999989,STABLE,PV_VOLATILE,MID,24290.920000000006,2025-12-16
24,5,326.5292794520548,320.70427945205483,358.97827945205484,254.5492794520548,-5.824999999999989,STABLE,PV_VOLATILE,MID,23949.33999999999,2025-12-16
25,6,318.10636438356164,317.53136438356165,346.16336438356166,260.61636438356163,-0.5749999999999886,STABLE,PV_VOLATILE,MID,24002.78,2025-12-16
26,6,318.10636438356164,321.6463643835616,348.5813643835616,299.9773643835616,3.539999999999992,STABLE,PV_VOLATILE,HIGH,25021.479999999996,2025-12-16
27,6,318.10636438356164,321.6463643835616,348.5813643835616,299.9773643835616,3.539999999999992,STABLE,PV_VOLATILE,HIGH,26108.929999999993,2025-12-16
28,6,318.10636438356164,321.6463643835616,348.5813643835616,299.9773643835616,3.539999999999992,STABLE,PV_VOLATILE,HIGH,27374.610000000015,2025-12-16
29,7,273.54821369863015,290.2732136986301,382.24721369863016,209.73021369863017,16.724999999999966,VOLATILE,PV_VOLATILE,HIGH,28588.789999999994,2025-12-16
30,7,273.54821369863015,290.2732136986301,382.24721369863016,209.73021369863017,16.724999999999966,VOLATILE,PV_VOLATILE,HIGH,29727.42,2025-12-16
31,7,273.54821369863015,290.2732136986301,382.24721369863016,209.73021369863017,16.724999999999966,VOLATILE,PV_VOLATILE,HIGH,31552.64,2025-12-16
32,7,273.54821369863015,290.2732136986301,382.24721369863016,209.73021369863017,16.724999999999966,VOLATILE,PV_VOLATILE,HIGH,32045.12000000001,2025-12-16
33,8,187.49788493150686,179.85288493150685,400.4778849315069,39.01388493150688,-7.644999999999998,VOLATILE,PV_VOLATILE,HIGH,32019.369999999995,2025-12-16
34,8,187.49788493150686,179.85288493150685,400.4778849315069,39.01388493150688,-7.644999999999998,VOLATILE,PV_VOLATILE,HIGH,31474.25,2025-12-16
35,8,187.49788493150686,179.85288493150685,400.4778849315069,39.01388493150688,-7.644999999999998,VOLATILE,PV_VOLATILE,HIGH,29845.050000000003,2025-12-16
36,8,187.49788493150686,179.85288493150685,400.4778849315069,39.01388493150688,-7.644999999999998,VOLATILE,PV_VOLATILE,HIGH,28866.690000000002,2025-12-16
37,9,116.03063287671232,99.86563287671231,309.34963287671235,43.59963287671232,-16.165000000000003,VOLATILE,PV_VOLATILE,HIGH,27104.979999999996,2025-12-16
38,9,116.03063287671232,99.86563287671231,309.34963287671235,43.59963287671232,-16.165000000000003,VOLATILE,PV_VOLATILE,HIGH,25029.949999999997,2025-12-16
39,9,116.03063287671232,99.86563287671231,309.34963287671235,43.59963287671232,-16.165000000000003,VOLATILE,PV_VOLATILE,HIGH,22796.93,2025-12-16
40,9,116.03063287671232,99.86563287671231,309.34963287671235,43.59963287671232,-16.165000000000003,VOLATILE,PV_VOLATILE,HIGH,21684.200000000004,2025-12-16
