interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,rt_true,da_true
1,0,348.48082595870204,355.61082595870204,404.22802595870206,263.73282595870205,7.1299999999999955,VOLATILE,PV_STABLE,HIGH,26715.399999999994,271.99,323.316
2,0,348.48082595870204,355.61082595870204,404.22802595870206,263.73282595870205,7.1299999999999955,VOLATILE,PV_STABLE,HIGH,26040.58,267.01,323.316
3,0,348.48082595870204,355.61082595870204,404.22802595870206,263.73282595870205,7.1299999999999955,VOLATILE,PV_STABLE,HIGH,25464.730000000003,276.0,323.316
4,0,348.48082595870204,355.61082595870204,404.22802595870206,263.73282595870205,7.1299999999999955,VOLATILE,PV_STABLE,HIGH,25000.75,276.58,323.316
5,1,334.60710029498523,343.1771002949852,385.6171002949852,298.38310029498524,8.569999999999993,STABLE,PV_STABLE,HIGH,24430.75,293.01,331.697
6,1,334.60710029498523,343.1771002949852,385.6171002949852,298.38310029498524,8.569999999999993,STABLE,PV_STABLE,HIGH,23776.910000000003,283.01,331.697
7,1,334.60710029498523,343.1771002949852,385.6171002949852,298.38310029498524,8.569999999999993,STABLE,PV_STABLE,HIGH,23413.839999999997,277.83,331.697
8,1,334.60710029498523,343.1771002949852,385.6171002949852,298.38310029498524,8.569999999999993,STABLE,PV_STABLE,HIGH,23172.940000000002,272.17,331.697
9,2,321.30584955752215,329.75584955752214,370.26504955752216,292.92384955752215,8.449999999999989,STABLE,PV_STABLE,HIGH,22774.21,271.07,307.177
10,2,321.30584955752215,329.75584955752214,370.26504955752216,292.92384955752215,8.449999999999989,STABLE,PV_STABLE,HIGH,22285.270000000004,268.9,307.177
11,2,321.30584955752215,329.75584955752214,370.26504955752216,292.92384955752215,8.449999999999989,STABLE,PV_STABLE,HIGH,21914.629999999997,265.54,307.177
12,2,321.30584955752215,329.75584955752214,370.26504955752216,292.92384955752215,8.449999999999989,STABLE,PV_STABLE,HIGH,21663.43,267.01,307.177
13,3,310.06298820059,318.14298820058997,347.59298820058996,292.89498820059,8.079999999999984,STABLE,PV_STABLE,HIGH,21215.689999999995,271.06,299.07
